exception_id,is_anomaly,anomaly_type,severity,explanation
EXC-0073,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0479,False,NONE,NONE,Normal active exception within policy.
EXC-0320,True,LONG_RUNNING_EXCEPTION,HIGH,Exception running for 298 days (>180) without renewal.
EXC-0441,True,CRITICAL_RISK_EXCEPTION,CRITICAL,Critical risk exception requiring immediate re-review.
EXC-0331,True,LONG_RUNNING_EXCEPTION,HIGH,Exception running for 362 days (>180) without renewal.
EXC-0408,True,STALLED_REVIEW,MEDIUM,Exception pending review for 50 days (>30).
EXC-0487,False,NONE,NONE,Normal active exception within policy.
EXC-0499,False,NONE,NONE,Normal active exception within policy.
EXC-0444,True,CRITICAL_RISK_EXCEPTION,CRITICAL,Critical risk exception requiring immediate re-review.
EXC-0488,False,NONE,NONE,Normal active exception within policy.
EXC-0188,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0522,False,NONE,NONE,Normal active exception within policy.
EXC-0394,True,HIGH_RISK_LONG_EXCEPTION,HIGH,High-risk exception active for 296 days (>90) without review.
EXC-0477,False,NONE,NONE,Normal active exception within policy.
EXC-0164,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0419,True,STALLED_REVIEW,MEDIUM,Exception pending review for 69 days (>30).
EXC-0368,True,HIGH_RISK_LONG_EXCEPTION,HIGH,High-risk exception active for 229 days (>90) without review.
EXC-0341,True,LONG_RUNNING_EXCEPTION,HIGH,Exception running for 368 days (>180) without renewal.
EXC-0315,True,LONG_RUNNING_EXCEPTION,HIGH,Exception running for 291 days (>180) without renewal.
EXC-0240,True,EXPIRED_ACTIVE_EXCEPTION,CRITICAL,Exception expired on 2025-10-15 but still marked ACTIVE.
EXC-0439,True,CRITICAL_RISK_EXCEPTION,CRITICAL,Critical risk exception requiring immediate re-review.
EXC-0113,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0278,True,EXPIRED_ACTIVE_EXCEPTION,CRITICAL,Exception expired on 2025-09-01 but still marked ACTIVE.
EXC-0146,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0356,True,HIGH_RISK_LONG_EXCEPTION,HIGH,High-risk exception active for 311 days (>90) without review.
